Dataset	ParentIonIndex	MZ	SurveyScanNumber	FragScanNumber	OptimalPeakApexScanNumber	PeakApexOverrideParentIonIndex	CustomSICPeak	PeakScanStart	PeakScanEnd	PeakScanMaxIntensity	PeakMaxIntensity	PeakSignalToNoiseRatio	FWHMInScans	PeakArea	ParentIonIntensity	PeakBaselineNoiseLevel	PeakBaselineNoiseStDev	PeakBaselinePointsUsed	StatMomentsArea	CenterOfMassScan	PeakStDev	PeakSkew	PeakKSStat	StatMomentsDataCountUsed
485810	28487	767.08	33108	33118	33108	-1	0	32871	33290	33108	1.7052E+07	188.8	76	1.6091E+09	1.3912E+07	90312	444027	4145	1.5583E+09	33115	40.8	0.009553	0.2353	16
485810	28488	763.46	33108	33119	33108	-1	0	32910	33329	33108	1.3472E+07	38.48	94	1.4317E+09	1.1416E+07	350077	1.47E+06	2076	1.3514E+09	33114	36.8	-0.004074	0.2494	14
485810	28489	470.05	33108	33120	33173	-1	0	33056	33290	33173	3.6166E+07	196.2	77	2.7592E+09	8.0796E+06	184364	937813	4160	2.7185E+09	33174	32.4	-0.05199	0.2666	13
485810	28490	684.19	33121	33122	32791	-1	0	32291	33962	32791	6.1269E+07	132.7	429	2.7717E+10	2.7633E+07	461678	2.5E+06	2063	2.5868E+10	32889	192	0.3561	0.559	73
485810	28491	787.94	33121	33123	32936	-1	0	32654	33490	32936	1.6719E+07	93.47	343	4.5552E+09	4.3597E+06	178861	788727	2066	4.3304E+09	32981	129	0.513	0.6952	49
485810	28492	719.45	33121	33124	33147	-1	0	32858	33355	33147	5.7061E+07	100.5	94	5.4661E+09	4.4042E+07	567835	3.65E+06	4148	5.2E+09	33141	36	-0.029	0.2494	14
485810	28493	514.81	33121	33125	34417	29634	0	33043	33477	33160	2.2279E+07	13.01	80	2.148E+09	1.2395E+07	1.7127E+06	9.35E+06	4155	1.8198E+09	33162	32.4	-0.07745	0.2759	13
485810	28494	573.71	33121	33126	30903	26410	0	32991	33251	33121	6.6631E+06	83.57	116	6.732E+08	6.8892E+06	79726	376843	4144	6.5157E+08	33123	37.1	-0.04974	0.2442	15
485810	28495	491.31	33121	33127	30827	26308	0	32978	33225	33108	4.6667E+06	1.498	78	5.2744E+08	3.9606E+06	3.1153E+06	2.23E+07	4164	8.7323E+07	33114	19.3	0.006194	0.3537	8
485810	28496	920.01	33121	33128	33108	-1	0	33030	33199	33108	6.704E+06	115.3	30	2.6613E+08	3.0787E+06	58140	374288	4142	2.7693E+08	33112	24.2	0.02538	0.3134	10
