Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw
141805	6463	35.57089	2	94722	2651.9	848.3699	41.37	225	825
141805	6464	35.57587	2	53927	1131.9	1024.6375	36.96	260	918
141805	6465	35.5814	2	66871	1619.6	1320.9459	48.44	288	1045
141805	6466	35.5868	1	2.9341E+07	361409	877.3012	25.85	1165	1165
141805	6467	35.59241	2	203858	35676	893.9396	554	296	1030
141805	6468	35.59751	2	293312	24135	1122.3826	201.6	273	896
141805	6469	35.60223	2	195345	3793.6	1112.6779	45.73	304	1074
141805	6470	35.60711	2	50613	1234.6	1470.5319	47.89	278	1181
141805	6471	35.6128	2	129709	13989	937.4007	211.9	226	780
141805	6472	35.61776	2	75716	1071.9	844.3647	27.2	288	1124
141805	6473	35.62304	2	130044	19640	997.7061	313.1	223	817
141805	6474	35.62802	2	396286	56836	1240.9182	415	210	758
141805	6475	35.63259	2	128159	3792.3	941.0502	69.96	315	1115
141805	6476	35.63777	2	92439	6254.7	1060.4106	111.2	167	684
141805	6477	35.64267	1	2.7132E+07	253139	803.5184	18.49	1141	1141
141805	6478	35.64865	2	201057	24395	1173.1948	450.9	340	1192
141805	6479	35.65397	2	229350	8947.5	588.3074	63.59	185	654
141805	6480	35.65865	2	97785	1384.5	1121.2059	31.06	352	1319
141805	6481	35.66413	2	140176	23693	1108.4617	334.6	127	440
141805	6482	35.66892	2	104383	4467.1	1080.0946	82.17	212	824
141805	6483	35.67394	2	86640	8052.4	1040.3331	209.7	253	908
141805	6484	35.67919	2	77667	2075.2	1261.321	63.53	351	1220
141805	6485	35.68491	2	48894	833.52	802.4214	25.82	249	891
141805	6486	35.69045	2	66163	1123.9	1172.8879	37.5	322	1083
141805	6487	35.69606	2	89883	1622.1	1094.45	40.35	323	1213
141805	6488	35.70121	1	2.7668E+07	255854	1131.3021	18.76	1152	1152
141805	6489	35.70713	2	69703	810.19	704.44	26.62	355	1340
141805	6490	35.71315	2	69456	1641.7	921.8211	34.83	213	789
141805	6491	35.71829	2	79565	2632.5	1161.2397	67.92	290	1049
141805	6492	35.72344	2	56312	1620.3	1580.3831	56.93	291	1100
141805	6493	35.72909	2	133718	7706.5	1240.8916	151.7	302	1095
141805	6494	35.7342	2	202276	2622.2	1054.4187	32.46	357	1258
141805	6495	35.73909	2	75190	3116.7	1094.8521	84.11	255	917
141805	6496	35.74415	2	33619	415.2	1598.8055	21.36	262	1083
141805	6497	35.75013	2	115189	6313	1240.8516	135.6	289	1114
141805	6498	35.7553	2	52304	677.1	1094.4426	27.44	340	1228
141805	6499	35.7611	1	2.7658E+07	277665	1131.1979	20.95	1185	1185
141805	6500	35.76731	2	203813	30174	1240.8794	494.4	288	1047
141805	6501	35.77228	2	247670	41509	1178.7903	557.8	300	1016
141805	6502	35.77715	2	108201	8935.3	784.7313	251.5	313	1049
141805	6503	35.78283	2	129815	3105.4	1154.8086	48.37	269	943
141805	6504	35.78773	2	22640	811.48	970.2301	64.99	220	771
141805	6505	35.79369	2	43137	509.34	1502.426	23.72	288	1119
141805	6506	35.79964	2	34892	678.53	1071.0125	30.66	229	841
141805	6507	35.80556	2	65444	873.09	1221.4573	31.34	354	1296
141805	6508	35.81147	2	101511	8064.5	830.986	153.8	141	495
141805	6509	35.81638	2	46554	496.62	951.5643	21.02	327	1122
141805	6510	35.82215	1	2.9329E+07	253230	991.8805	18.75	1181	1181
141805	6511	35.82833	2	19364	579.55	1157.678	40.48	205	746
141805	6512	35.83444	2	114174	1752.7	1054.447	29.74	290	1095
141805	6513	35.8394	2	145146	9164.7	1249.8497	171.9	289	1178
141805	6514	35.84454	2	18573	383.2	1039.5576	25.52	188	726
141805	6515	35.85066	2	92752	11712	937.4805	255.8	184	789
141805	6516	35.8558	2	87994	2713.4	1030.6423	39.47	173	671
141805	6517	35.86064	2	61788	3136.6	993.4842	96.99	232	925
141805	6518	35.8662	2	73580	878.25	837.2839	24.02	307	1088
141805	6519	35.87165	2	126503	4144.3	947.7565	81.43	278	1054
141805	6520	35.87671	2	106221	10206	851.5118	218.9	198	702
141805	6521	35.88168	1	2.6739E+07	247241	747.0187	20.7	1191	1191
141805	6522	35.88722	2	92604	1010.8	1281.4982	27.69	370	1378
141805	6523	35.89322	2	21927	550.14	1204.7509	37.72	216	877
